city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
chiang rai,19.9068867,99.8332739,Clear,68.16,92,1000,0.0
shakawe,-18.363276,21.839848,Clear,73.04,49,1008,5.17
mirnyy,62.541077,113.978584,Clouds,16.79,85,1007,13.0
poum,-20.2316547,164.029894,Clear,77.31,72,1008,21.14
gairo,39.847052,9.507244,Clouds,54.73,54,1019,5.41
tchibanga,-2.9170995,10.9955955,Clouds,73.06,98,1011,1.07
luau,-10.7025518,22.2275381,Rain,64.13,99,1011,4.81
zhigansk,66.76564,123.3741,Clouds,-6.0,97,1013,12.86
valdemarpils,57.369306,22.5895069,Rain,51.08,91,1009,8.9
boa vista,2.8208478,-60.6719582,Rain,76.98,83,1011,3.44
lompoc,34.6391501,-120.4579409,Clear,52.95,79,1020,11.5
kitui,-1.3666,38.0166,Rain,64.36,94,1013,3.85
pitkyaranta,61.5717807,31.4744211,Rain,45.12,99,1004,11.86
dharan,26.7953984,87.27700075928504,Clear,70.25,67,1018,2.98
kostomuksha,64.5873013,30.5969076,Snow,28.67,97,1005,4.88
kisaran,2.9838982,99.6288041,Clouds,79.65,85,1012,4.41
sibu,2.2906434,111.8256158,Clouds,78.06,88,1010,3.44
candawaga,8.8749167,117.5015654,Rain,84.74,70,1011,3.4
halalo,-13.3447142,-176.2136238,Clouds,82.53,76,1009,16.78
dali,25.6802435,100.3001222,Clear,55.92,63,1020,1.95
taldan,53.688705,124.818939,Clear,21.34,66,1026,4.36
ushtobe,45.2513771,77.9838119,Clouds,33.12,77,1036,2.51
bonavista,48.6541763,-53.110338,Clouds,35.29,59,1019,23.29
saldanha,-32.9977778,17.9455556,Clear,52.07,78,1015,9.51
emmauss,56.7817525,36.1156615,Clouds,43.5,92,1016,10.33
kuusamo,65.9645637,29.1883283,Clouds,30.27,100,1003,5.75
ilulissat,69.2197127,-51.0986385,Clouds,-6.07,82,999,5.86
poquoson,37.1241861,-76.3921461,Clouds,57.54,80,1031,11.5
utiroa,-1.2130376,174.7571277,Clouds,81.36,68,1008,17.49
miri,4.392739,113.9880255,Clouds,80.71,89,1012,2.3
kortkeros,61.8130799,51.5744647,Clouds,33.78,99,1012,3.67
samusu,-13.9974088,-171.4288872,Rain,81.12,81,1011,14.16
tougan,13.0690536,-3.0695369,Clear,75.29,19,1010,7.34
lowestoft,52.4766308,1.7537638,Clouds,48.76,90,1015,15.93
frontera,27.7534804,-18.0107229,Clouds,64.62,75,1018,17.27
pringsewu,-5.3554066,104.9774115,Clouds,78.51,85,1012,1.61
namatanai,-3.6641739,152.4407285,Rain,87.06,66,1008,7.99
